"±∏∫–∫∞","¡ˆø™∫∞",2004. 01,2004. 02,2004. 03,2004. 04,2004. 05,2004. 06,2004. 07,2004. 08,2004. 09,2004. 10,2004. 11,2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08
"ø©∞¥ (∏Ì)","µø≥≤æ∆",670160 (∏Ì),528671 (∏Ì),468529 (∏Ì),523270 (∏Ì),557179 (∏Ì),573084 (∏Ì),634232 (∏Ì),698058 (∏Ì),516790 (∏Ì),595917 (∏Ì),671580 (∏Ì),631006 (∏Ì),631866 (∏Ì),574698 (∏Ì),600946 (∏Ì),609212 (∏Ì),653701 (∏Ì),739815 (∏Ì),784421 (∏Ì),559390 (∏Ì),662185 (∏Ì),664053 (∏Ì),814716 (∏Ì),788852 (∏Ì),682398 (∏Ì),676738 (∏Ì),665060 (∏Ì),671118 (∏Ì),772357 (∏Ì),824572 (∏Ì),627534 (∏Ì),727949 (∏Ì),788185 (∏Ì),903173 (∏Ì),800870 (∏Ì),796018 (∏Ì),726315 (∏Ì),736053 (∏Ì),731650 (∏Ì),841103 (∏Ì),876500 (∏Ì),685554 (∏Ì),734762 (∏Ì),811371 (∏Ì),951994 (∏Ì),905793 (∏Ì),813331 (∏Ì),772815 (∏Ì),789985 (∏Ì),777590 (∏Ì),832259 (∏Ì),887802 (∏Ì)
"ø©∞¥ (∏Ì)","πÃ¡÷",248361 (∏Ì),202783 (∏Ì),213202 (∏Ì),220684 (∏Ì),255369 (∏Ì),282714 (∏Ì),298030 (∏Ì),313230 (∏Ì),238908 (∏Ì),246197 (∏Ì),205126 (∏Ì),247675 (∏Ì),205988 (∏Ì),233206 (∏Ì),233000 (∏Ì),267466 (∏Ì),293099 (∏Ì),310430 (∏Ì),315989 (∏Ì),240587 (∏Ì),238970 (∏Ì),207637 (∏Ì),246523 (∏Ì),198412 (∏Ì),225653 (∏Ì),245933 (∏Ì),275556 (∏Ì),294726 (∏Ì),306253 (∏Ì),332328 (∏Ì),264949 (∏Ì),268345 (∏Ì),241001 (∏Ì),268649 (∏Ì),225521 (∏Ì),267554 (∏Ì),264693 (∏Ì),292390 (∏Ì),307304 (∏Ì),332189 (∏Ì),347104 (∏Ì),283468 (∏Ì),279338 (∏Ì),246096 (∏Ì),283805 (∏Ì),235097 (∏Ì),265015 (∏Ì),253199 (∏Ì),286960 (∏Ì),303872 (∏Ì),321244 (∏Ì),347052 (∏Ì)
"ø©∞¥ (∏Ì)","¡ﬂ±π",317936 (∏Ì),308130 (∏Ì),288033 (∏Ì),339442 (∏Ì),323923 (∏Ì),342712 (∏Ì),437230 (∏Ì),500366 (∏Ì),378749 (∏Ì),419474 (∏Ì),369365 (∏Ì),444650 (∏Ì),390047 (∏Ì),382265 (∏Ì),448620 (∏Ì),453956 (∏Ì),463986 (∏Ì),502617 (∏Ì),566293 (∏Ì),435426 (∏Ì),489652 (∏Ì),401496 (∏Ì),428984 (∏Ì),440842 (∏Ì),400565 (∏Ì),454319 (∏Ì),477010 (∏Ì),470908 (∏Ì),546792 (∏Ì),623619 (∏Ì),545190 (∏Ì),589500 (∏Ì),522934 (∏Ì),593154 (∏Ì),586306 (∏Ì),604399 (∏Ì),612065 (∏Ì),658170 (∏Ì),641271 (∏Ì),722407 (∏Ì),780880 (∏Ì),641884 (∏Ì),680589 (∏Ì),601863 (∏Ì),673082 (∏Ì),611600 (∏Ì),555486 (∏Ì),569877 (∏Ì),587770 (∏Ì),505851 (∏Ì),543959 (∏Ì),548424 (∏Ì)
"ø©∞¥ (∏Ì)","±∏¡÷",122658 (∏Ì),119185 (∏Ì),124437 (∏Ì),131968 (∏Ì),153724 (∏Ì),160803 (∏Ì),193734 (∏Ì),189518 (∏Ì),170483 (∏Ì),163717 (∏Ì),120695 (∏Ì),142051 (∏Ì),123836 (∏Ì),130687 (∏Ì),151047 (∏Ì),166899 (∏Ì),178688 (∏Ì),197679 (∏Ì),197795 (∏Ì),174152 (∏Ì),174976 (∏Ì),128830 (∏Ì),140830 (∏Ì),132263 (∏Ì),141346 (∏Ì),163054 (∏Ì),183681 (∏Ì),186644 (∏Ì),209020 (∏Ì),209383 (∏Ì),200899 (∏Ì),180802 (∏Ì),148257 (∏Ì),163296 (∏Ì),141577 (∏Ì),172851 (∏Ì),188175 (∏Ì),204510 (∏Ì),215525 (∏Ì),239730 (∏Ì),240429 (∏Ì),220184 (∏Ì),218290 (∏Ì),178473 (∏Ì),194207 (∏Ì),173379 (∏Ì),182656 (∏Ì),201068 (∏Ì),221694 (∏Ì),239226 (∏Ì),269656 (∏Ì),271402 (∏Ì)
"ø©∞¥ (∏Ì)","¥ÎæÁ¡÷",109832 (∏Ì),100146 (∏Ì),74119 (∏Ì),71018 (∏Ì),68628 (∏Ì),62431 (∏Ì),83410 (∏Ì),83819 (∏Ì),67629 (∏Ì),72295 (∏Ì),83701 (∏Ì),111356 (∏Ì),91249 (∏Ì),73485 (∏Ì),69179 (∏Ì),65296 (∏Ì),62146 (∏Ì),71607 (∏Ì),72742 (∏Ì),58769 (∏Ì),68137 (∏Ì),75963 (∏Ì),95920 (∏Ì),79702 (∏Ì),67503 (∏Ì),70108 (∏Ì),67270 (∏Ì),62741 (∏Ì),80202 (∏Ì),85539 (∏Ì),65949 (∏Ì),73863 (∏Ì),81552 (∏Ì),107533 (∏Ì),85815 (∏Ì),77496 (∏Ì),74726 (∏Ì),65744 (∏Ì),68310 (∏Ì),89119 (∏Ì),94279 (∏Ì),70603 (∏Ì),77841 (∏Ì),81360 (∏Ì),101282 (∏Ì),105731 (∏Ì),86090 (∏Ì),81051 (∏Ì),85523 (∏Ì),86557 (∏Ì),104643 (∏Ì),109054 (∏Ì)
"ø©∞¥ (∏Ì)","±‚≈∏",12375 (∏Ì),11137 (∏Ì),12780 (∏Ì),11803 (∏Ì),12991 (∏Ì),11158 (∏Ì),11984 (∏Ì),12177 (∏Ì),9552 (∏Ì),11287 (∏Ì),8958 (∏Ì),14156 (∏Ì),11761 (∏Ì),10415 (∏Ì),12182 (∏Ì),23059 (∏Ì),28109 (∏Ì),30384 (∏Ì),32000 (∏Ì),28409 (∏Ì),42115 (∏Ì),22550 (∏Ì),29929 (∏Ì),28045 (∏Ì),27896 (∏Ì),30774 (∏Ì),32962 (∏Ì),29017 (∏Ì),34939 (∏Ì),33703 (∏Ì),33130 (∏Ì),32977 (∏Ì),33784 (∏Ì),38251 (∏Ì),31997 (∏Ì),24913 (∏Ì),23958 (∏Ì),25549 (∏Ì),24475 (∏Ì),26055 (∏Ì),25587 (∏Ì),26234 (∏Ì),27542 (∏Ì),26974 (∏Ì),31372 (∏Ì),30072 (∏Ì),26811 (∏Ì),29110 (∏Ì),29972 (∏Ì),28664 (∏Ì),32552 (∏Ì),32139 (∏Ì)
"»≠π∞ (≈Ê)","∞Ë",173635 (≈Ê),192247 (≈Ê),211140 (≈Ê),201683 (≈Ê),209249 (≈Ê),209205 (≈Ê),215889 (≈Ê),211411 (≈Ê),211203 (≈Ê),226038 (≈Ê),217424 (≈Ê),197871 (≈Ê),184299 (≈Ê),221643 (≈Ê),209998 (≈Ê),208322 (≈Ê),214354 (≈Ê),213477 (≈Ê),205984 (≈Ê),212129 (≈Ê),228994 (≈Ê),225462 (≈Ê),206705 (≈Ê),198072 (≈Ê),239476 (≈Ê),226037 (≈Ê),216871 (≈Ê),222606 (≈Ê),229555 (≈Ê),236545 (≈Ê),245115 (≈Ê),247519 (≈Ê),250075 (≈Ê),224423 (≈Ê),220006 (≈Ê),262704 (≈Ê),250330 (≈Ê),246216 (≈Ê),249885 (≈Ê),255440 (≈Ê),258010 (≈Ê),259780 (≈Ê),271501 (≈Ê),272321 (≈Ê),248959 (≈Ê),234121 (≈Ê),267333 (≈Ê),253394 (≈Ê),250127 (≈Ê),250057 (≈Ê),250080 (≈Ê),248524 (≈Ê)
"»≠π∞ (≈Ê)","¿œ∫ª",28537 (≈Ê),31255 (≈Ê),32636 (≈Ê),31499 (≈Ê),31954 (≈Ê),32141 (≈Ê),33157 (≈Ê),32078 (≈Ê),33646 (≈Ê),35044 (≈Ê),33758 (≈Ê),29743 (≈Ê),29832 (≈Ê),35081 (≈Ê),33545 (≈Ê),32453 (≈Ê),33892 (≈Ê),32596 (≈Ê),31037 (≈Ê),34154 (≈Ê),36199 (≈Ê),37045 (≈Ê),31760 (≈Ê),32153 (≈Ê),36595 (≈Ê),33956 (≈Ê),31374 (≈Ê),32838 (≈Ê),32207 (≈Ê),33219 (≈Ê),33532 (≈Ê),33465 (≈Ê),35388 (≈Ê),29758 (≈Ê),30294 (≈Ê),35861 (≈Ê),33258 (≈Ê),31567 (≈Ê),32468 (≈Ê),31494 (≈Ê),33618 (≈Ê),33646 (≈Ê),35225 (≈Ê),36221 (≈Ê),32351 (≈Ê),31877 (≈Ê),34323 (≈Ê),31169 (≈Ê),30789 (≈Ê),31711 (≈Ê),30237 (≈Ê),30317 (≈Ê)
"»≠π∞ (≈Ê)","µø≥≤æ∆",52104 (≈Ê),56104 (≈Ê),59214 (≈Ê),57440 (≈Ê),58583 (≈Ê),59764 (≈Ê),59593 (≈Ê),56950 (≈Ê),56663 (≈Ê),59605 (≈Ê),55184 (≈Ê),53358 (≈Ê),47664 (≈Ê),58013 (≈Ê),54880 (≈Ê),53147 (≈Ê),55660 (≈Ê),55596 (≈Ê),55471 (≈Ê),56692 (≈Ê),60230 (≈Ê),58360 (≈Ê),58661 (≈Ê),55719 (≈Ê),65574 (≈Ê),60410 (≈Ê),59162 (≈Ê),60880 (≈Ê),63301 (≈Ê),64289 (≈Ê),65270 (≈Ê),64882 (≈Ê),64958 (≈Ê),61929 (≈Ê),57954 (≈Ê),70929 (≈Ê),64498 (≈Ê),64530 (≈Ê),63959 (≈Ê),67693 (≈Ê),67728 (≈Ê),68601 (≈Ê),71587 (≈Ê),72273 (≈Ê),71378 (≈Ê),63672 (≈Ê),72583 (≈Ê),68163 (≈Ê),66908 (≈Ê),67121 (≈Ê),67797 (≈Ê),67262 (≈Ê)
"»≠π∞ (≈Ê)","πÃ¡÷",48023 (≈Ê),52304 (≈Ê),59948 (≈Ê),56719 (≈Ê),61631 (≈Ê),60933 (≈Ê),62598 (≈Ê),61846 (≈Ê),58765 (≈Ê),63795 (≈Ê),60720 (≈Ê),54544 (≈Ê),49965 (≈Ê),59687 (≈Ê),55000 (≈Ê),56001 (≈Ê),58075 (≈Ê),56646 (≈Ê),54767 (≈Ê),53136 (≈Ê),58981 (≈Ê),54326 (≈Ê),50829 (≈Ê),48650 (≈Ê),59732 (≈Ê),56942 (≈Ê),56454 (≈Ê),58450 (≈Ê),60313 (≈Ê),62020 (≈Ê),60700 (≈Ê),63241 (≈Ê),59585 (≈Ê),54953 (≈Ê),52812 (≈Ê),61156 (≈Ê),59735 (≈Ê),60128 (≈Ê),60894 (≈Ê),61515 (≈Ê),59808 (≈Ê),58728 (≈Ê),61990 (≈Ê),58731 (≈Ê),53245 (≈Ê),50670 (≈Ê),60100 (≈Ê),57324 (≈Ê),59437 (≈Ê),58004 (≈Ê),58516 (≈Ê),58743 (≈Ê)
"»≠π∞ (≈Ê)","¡ﬂ±π",16744 (≈Ê),18981 (≈Ê),21317 (≈Ê),21247 (≈Ê),20919 (≈Ê),20918 (≈Ê),22881 (≈Ê),23637 (≈Ê),24767 (≈Ê),26077 (≈Ê),24381 (≈Ê),25670 (≈Ê),22238 (≈Ê),29631 (≈Ê),28862 (≈Ê),27482 (≈Ê),28363 (≈Ê),29098 (≈Ê),29788 (≈Ê),29191 (≈Ê),29556 (≈Ê),29452 (≈Ê),28004 (≈Ê),24536 (≈Ê),32131 (≈Ê),30555 (≈Ê),28660 (≈Ê),29900 (≈Ê),32104 (≈Ê),36410 (≈Ê),38741 (≈Ê),37961 (≈Ê),38476 (≈Ê),35130 (≈Ê),34559 (≈Ê),43101 (≈Ê),40944 (≈Ê),41070 (≈Ê),42137 (≈Ê),43586 (≈Ê),46328 (≈Ê),45746 (≈Ê),46801 (≈Ê),46469 (≈Ê),44430 (≈Ê),38914 (≈Ê),46607 (≈Ê),45054 (≈Ê),43059 (≈Ê),44020 (≈Ê),43927 (≈Ê),43752 (≈Ê)
"»≠π∞ (≈Ê)","±∏¡÷",23239 (≈Ê),28211 (≈Ê),31828 (≈Ê),29034 (≈Ê),30308 (≈Ê),29978 (≈Ê),30894 (≈Ê),30381 (≈Ê),30989 (≈Ê),34233 (≈Ê),36098 (≈Ê),29030 (≈Ê),29254 (≈Ê),33763 (≈Ê),33046 (≈Ê),34045 (≈Ê),32831 (≈Ê),33968 (≈Ê),29924 (≈Ê),33691 (≈Ê),38432 (≈Ê),40685 (≈Ê),32139 (≈Ê),31903 (≈Ê),39479 (≈Ê),38675 (≈Ê),35744 (≈Ê),35174 (≈Ê),35974 (≈Ê),34563 (≈Ê),41002 (≈Ê),42051 (≈Ê),45195 (≈Ê),36365 (≈Ê),38295 (≈Ê),45115 (≈Ê),45527 (≈Ê),42597 (≈Ê),44388 (≈Ê),44454 (≈Ê),43870 (≈Ê),47008 (≈Ê),49442 (≈Ê),52195 (≈Ê),41088 (≈Ê),42289 (≈Ê),46865 (≈Ê),44706 (≈Ê),43688 (≈Ê),42977 (≈Ê),42657 (≈Ê),41832 (≈Ê)
"»≠π∞ (≈Ê)","¥ÎæÁ¡÷",4085 (≈Ê),4592 (≈Ê),4363 (≈Ê),3904 (≈Ê),3859 (≈Ê),3769 (≈Ê),4676 (≈Ê),4500 (≈Ê),4140 (≈Ê),4928 (≈Ê),4676 (≈Ê),4385 (≈Ê),4322 (≈Ê),4389 (≈Ê),3165 (≈Ê),3133 (≈Ê),3188 (≈Ê),3332 (≈Ê),2880 (≈Ê),2918 (≈Ê),3272 (≈Ê),3440 (≈Ê),3193 (≈Ê),3116 (≈Ê),3226 (≈Ê),3175 (≈Ê),3088 (≈Ê),3155 (≈Ê),3390 (≈Ê),3773 (≈Ê),3411 (≈Ê),3619 (≈Ê),3970 (≈Ê),3839 (≈Ê),3767 (≈Ê),3971 (≈Ê),3960 (≈Ê),3702 (≈Ê),3336 (≈Ê),4088 (≈Ê),4193 (≈Ê),3496 (≈Ê),3974 (≈Ê),3847 (≈Ê),4302 (≈Ê),4521 (≈Ê),4328 (≈Ê),4102 (≈Ê),4000 (≈Ê),3984 (≈Ê),4407 (≈Ê),4363 (≈Ê)
"»≠π∞ (≈Ê)","±‚≈∏",904 (≈Ê),800 (≈Ê),1834 (≈Ê),1841 (≈Ê),1995 (≈Ê),1703 (≈Ê),2091 (≈Ê),2020 (≈Ê),2232 (≈Ê),2355 (≈Ê),2607 (≈Ê),1142 (≈Ê),1023 (≈Ê),1078 (≈Ê),1499 (≈Ê),2060 (≈Ê),2344 (≈Ê),2241 (≈Ê),2118 (≈Ê),2347 (≈Ê),2325 (≈Ê),2154 (≈Ê),2120 (≈Ê),1996 (≈Ê),2739 (≈Ê),2324 (≈Ê),2389 (≈Ê),2210 (≈Ê),2266 (≈Ê),2271 (≈Ê),2457 (≈Ê),2300 (≈Ê),2503 (≈Ê),2449 (≈Ê),2326 (≈Ê),2571 (≈Ê),2408 (≈Ê),2623 (≈Ê),2704 (≈Ê),2610 (≈Ê),2465 (≈Ê),2554 (≈Ê),2483 (≈Ê),2584 (≈Ê),2165 (≈Ê),2179 (≈Ê),2527 (≈Ê),2877 (≈Ê),2246 (≈Ê),2240 (≈Ê),2539 (≈Ê),2256 (≈Ê)
